P1 work time,P2 work time,P1 crit time,P2 crit time,P1 inc,P2 inc,time
0.00010, 0.00010, 0.00010, 0.00090, 3.00000, 4.00000, 0.094957
0.00010, 0.00010, 0.00010, 0.00090, 4.00000, 4.00000, 0.099432
0.00010, 0.00010, 0.00010, 0.00090, 5.00000, 4.00000, 0.105625
0.00010, 0.00010, 0.00010, 0.00090, 1.00000, 5.00000, 0.075620
0.00010, 0.00010, 0.00010, 0.00090, 2.00000, 5.00000, 0.084094
0.00010, 0.00010, 0.00010, 0.00090, 3.00000, 5.00000, 0.093684
0.00010, 0.00010, 0.00010, 0.00090, 4.00000, 5.00000, 0.096338
0.00010, 0.00010, 0.00010, 0.00090, 5.00000, 5.00000, 0.107468
0.00010, 0.00010, 0.00050, 0.00010, 1.00000, 1.00000, 0.085456
0.00010, 0.00010, 0.00050, 0.00010, 2.00000, 1.00000, 0.092169
0.00010, 0.00010, 0.00050, 0.00010, 3.00000, 1.00000, 0.097020
0.00010, 0.00010, 0.00050, 0.00010, 4.00000, 1.00000, 0.098246
0.00010, 0.00010, 0.00050, 0.00010, 5.00000, 1.00000, 0.096779
0.00010, 0.00010, 0.00050, 0.00010, 1.00000, 2.00000, 0.066005
0.00010, 0.00010, 0.00050, 0.00010, 2.00000, 2.00000, 0.071039
0.00010, 0.00010, 0.00050, 0.00010, 3.00000, 2.00000, 0.078737
0.00010, 0.00010, 0.00050, 0.00010, 4.00000, 2.00000, 0.084034
0.00010, 0.00010, 0.00050, 0.00010, 5.00000, 2.00000, 0.092604
0.00010, 0.00010, 0.00050, 0.00010, 1.00000, 3.00000, 0.062302
0.00010, 0.00010, 0.00050, 0.00010, 2.00000, 3.00000, 0.070173
0.00010, 0.00010, 0.00050, 0.00010, 3.00000, 3.00000, 0.077482
0.00010, 0.00010, 0.00050, 0.00010, 4.00000, 3.00000, 0.082642
0.00010, 0.00010, 0.00050, 0.00010, 5.00000, 3.00000, 0.089251
0.00010, 0.00010, 0.00050, 0.00010, 1.00000, 4.00000, 0.063036
0.00010, 0.00010, 0.00050, 0.00010, 2.00000, 4.00000, 0.069805
0.00010, 0.00010, 0.00050, 0.00010, 3.00000, 4.00000, 0.077373
0.00010, 0.00010, 0.00050, 0.00010, 4.00000, 4.00000, 0.083239
0.00010, 0.00010, 0.00050, 0.00010, 5.00000, 4.00000, 0.087673
0.00010, 0.00010, 0.00050, 0.00010, 1.00000, 5.00000, 0.060226
0.00010, 0.00010, 0.00050, 0.00010, 2.00000, 5.00000, 0.067659
0.00010, 0.00010, 0.00050, 0.00010, 3.00000, 5.00000, 0.076208
0.00010, 0.00010, 0.00050, 0.00010, 4.00000, 5.00000, 0.085040
0.00010, 0.00010, 0.00050, 0.00010, 5.00000, 5.00000, 0.091047
0.00010, 0.00010, 0.00050, 0.00050, 1.00000, 1.00000, 0.072245
0.00010, 0.00010, 0.00050, 0.00050, 2.00000, 1.00000, 0.082687
0.00010, 0.00010, 0.00050, 0.00050, 3.00000, 1.00000, 0.090700
0.00010, 0.00010, 0.00050, 0.00050, 4.00000, 1.00000, 0.095095
0.00010, 0.00010, 0.00050, 0.00050, 5.00000, 1.00000, 0.102642
0.00010, 0.00010, 0.00050, 0.00050, 1.00000, 2.00000, 0.076187
0.00010, 0.00010, 0.00050, 0.00050, 2.00000, 2.00000, 0.082915
0.00010, 0.00010, 0.00050, 0.00050, 3.00000, 2.00000, 0.089554
0.00010, 0.00010, 0.00050, 0.00050, 4.00000, 2.00000, 0.096395
0.00010, 0.00010, 0.00050, 0.00050, 5.00000, 2.00000, 0.102404
0.00010, 0.00010, 0.00050, 0.00050, 1.00000, 3.00000, 0.073920
0.00010, 0.00010, 0.00050, 0.00050, 2.00000, 3.00000, 0.082245
0.00010, 0.00010, 0.00050, 0.00050, 3.00000, 3.00000, 0.091287
0.00010, 0.00010, 0.00050, 0.00050, 4.00000, 3.00000, 0.095425
0.00010, 0.00010, 0.00050, 0.00050, 5.00000, 3.00000, 0.104223
0.00010, 0.00010, 0.00050, 0.00050, 1.00000, 4.00000, 0.076301
0.00010, 0.00010, 0.00050, 0.00050, 2.00000, 4.00000, 0.081625
0.00010, 0.00010, 0.00050, 0.00050, 3.00000, 4.00000, 0.086974
0.00010, 0.00010, 0.00050, 0.00050, 4.00000, 4.00000, 0.095623
0.00010, 0.00010, 0.00050, 0.00050, 5.00000, 4.00000, 0.107144
0.00010, 0.00010, 0.00050, 0.00050, 1.00000, 5.00000, 0.076599
0.00010, 0.00010, 0.00050, 0.00050, 2.00000, 5.00000, 0.079250
0.00010, 0.00010, 0.00050, 0.00050, 3.00000, 5.00000, 0.090128
0.00010, 0.00010, 0.00050, 0.00050, 4.00000, 5.00000, 0.094299
0.00010, 0.00010, 0.00050, 0.00050, 5.00000, 5.00000, 0.104671
0.00010, 0.00010, 0.00050, 0.00090, 1.00000, 1.00000, 0.084938
0.00010, 0.00010, 0.00050, 0.00090, 2.00000, 1.00000, 0.093017
0.00010, 0.00010, 0.00050, 0.00090, 3.00000, 1.00000, 0.101148
0.00010, 0.00010, 0.00050, 0.00090, 4.00000, 1.00000, 0.106883
0.00010, 0.00010, 0.00050, 0.00090, 5.00000, 1.00000, 0.115570
